"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"Registered Voters" ,"" ,"NP" ,533 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"FOR" ,"302804" ,"NP" ,180 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"FOR" ,"302804" ,"NP" ,13 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"FOR" ,"302804" ,"NP" ,2 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"FOR" ,"302804" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"FOR" ,"302804" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"FOR" ,"302804" ,"NP" ,196 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"AGAINST" ,"302801" ,"NP" ,101 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"AGAINST" ,"302801" ,"NP" ,11 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"AGAINST" ,"302801" ,"NP" ,7 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"AGAINST" ,"302801" ,"NP" ,3 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"AGAINST" ,"302801" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT A" ,"302800" ,"NP" ,"AGAINST" ,"302801" ,"NP" ,122 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"Registered Voters" ,"" ,"NP" ,533 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"FOR" ,"302824" ,"NP" ,240 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"FOR" ,"302824" ,"NP" ,17 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"FOR" ,"302824" ,"NP" ,8 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"FOR" ,"302824" ,"NP" ,5 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"FOR" ,"302824" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"FOR" ,"302824" ,"NP" ,270 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"AGAINST" ,"302821" ,"NP" ,44 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"AGAINST" ,"302821" ,"NP" ,8 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"AGAINST" ,"302821" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"AGAINST" ,"302821" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"AGAINST" ,"302821" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT B" ,"302820" ,"NP" ,"AGAINST" ,"302821" ,"NP" ,53 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"Registered Voters" ,"" ,"NP" ,533 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"FOR" ,"302844" ,"NP" ,163 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"FOR" ,"302844" ,"NP" ,17 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"FOR" ,"302844" ,"NP" ,7 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"FOR" ,"302844" ,"NP" ,4 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"FOR" ,"302844" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"FOR" ,"302844" ,"NP" ,191 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"AGAINST" ,"302841" ,"NP" ,118 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"AGAINST" ,"302841" ,"NP" ,7 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"AGAINST" ,"302841" ,"NP" ,3 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"AGAINST" ,"302841" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"AGAINST" ,"302841" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT C" ,"302840" ,"NP" ,"AGAINST" ,"302841" ,"NP" ,129 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"Registered Voters" ,"" ,"NP" ,533 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"FOR" ,"302864" ,"NP" ,181 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"FOR" ,"302864" ,"NP" ,16 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"FOR" ,"302864" ,"NP" ,3 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"FOR" ,"302864" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"FOR" ,"302864" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"FOR" ,"302864" ,"NP" ,200 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"AGAINST" ,"302861" ,"NP" ,101 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"AGAINST" ,"302861" ,"NP" ,9 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"AGAINST" ,"302861" ,"NP" ,6 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"AGAINST" ,"302861" ,"NP" ,5 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"AGAINST" ,"302861" ,"NP" ,0 ,
"8" ,7 ,"7.14,7.15" ,"CONST AMENDMENT D" ,"302860" ,"NP" ,"AGAINST" ,"302861" ,"NP" ,121 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,765 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,35 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,6 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,42 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,30 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,3 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,33 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,2 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,2 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,3 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,3 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,765 ,
"8" ,8 ,"8.16,8.17,8.18,8.19" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,208 ,
